     1→{
     2→  "code": 200,
     3→  "data": {
     4→    "description": "",
     5→    "external": {
     6→      "EditURI": {
     7→        "https://masyamsulhuda.sch.id/xmlrpc.php?rsd": {
     8→          "title": "RSD",
     9→          "type": "application/rsd+xml"
    10→        }
    11→      },
    12→      "alternate": {
    13→        "https://masyamsulhuda.sch.id/comments/feed/": {
    14→          "title": "MA Syamsul Huda Kedungreja » Comments Feed",
    15→          "type": "application/rss+xml"
    16→        },
    17→        "https://masyamsulhuda.sch.id/feed/": {
    18→          "title": "MA Syamsul Huda Kedungreja » Feed",
    19→          "type": "application/rss+xml"
    20→        },
    21→        "https://masyamsulhuda.sch.id/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmasyamsulhuda.sch.id%2F": {
    22→          "title": "oEmbed (JSON)",
    23→          "type": "application/json+oembed"
    24→        },
    25→        "https://masyamsulhuda.sch.id/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmasyamsulhuda.sch.id%2F&format=xml": {
    26→          "title": "oEmbed (XML)",
    27→          "type": "text/xml+oembed"
    28→        },
    29→        "https://masyamsulhuda.sch.id/wp-json/wp/v2/pages/761": {
    30→          "title": "JSON",
    31→          "type": "application/json"
    32→        }
    33→      },
    34→      "apple-touch-icon": {
    35→        "https://masyamsulhuda.sch.id/wp-content/uploads/2026/01/logo-yabakii.png": {}
    36→      },
    37→      "canonical": {
    38→        "https://masyamsulhuda.sch.id/": {}
    39→      },
    40→      "dns-prefetch": {
    41→        "https://unpkg.com/": {},
    42→        "https://www.googletagmanager.com/": {}
    43→      },
    44→      "https://api.w.org/": {
    45→        "https://masyamsulhuda.sch.id/wp-json/": {}
    46→      },
    47→      "icon": {
    48→        "https://masyamsulhuda.sch.id/wp-content/uploads/2026/01/logo-yabakii-150x150.png": {
    49→          "sizes": "32x32"
    50→        },
    51→        "https://masyamsulhuda.sch.id/wp-content/uploads/2026/01/logo-yabakii.png": {
    52→          "sizes": "192x192"
    53→        }
    54→      },
    55→      "profile": {
    56→        "https://gmpg.org/xfn/11": {}
    57→      },
    58→      "shortlink": {
    59→        "https://masyamsulhuda.sch.id/": {}
    60→      }
    61→    },
